seq_name	cluster_rep	prot_name	score
ERR8477561.4609978	WP_015880457.1	ATP-binding cassette domain-containing protein 	37.0
ERR8477561.5198061	WP_015880457.1	ATP-binding cassette domain-containing protein 	30.21
ERR8477561.7946797	WP_015880457.1	ATP-binding cassette domain-containing protein 	32.14
ERR8477561.22196849	WP_015880457.1	ATP-binding cassette domain-containing protein 	30.21
ERR8477561.6945069	WP_214706011.1	Ig-like domain-containing protein 	22.0
ERR8477561.15901551	WP_214706011.1	Ig-like domain-containing protein 	23.0
ERR8477561.3769061	WP_118720320.1	MATE family efflux transporter 	31.64
ERR8477561.19990589	WP_118720320.1	MATE family efflux transporter 	30.56
ERR8477561.886082	WP_021719006.1	OFA family MFS transporter 	44.0
ERR8477561.2010769	WP_021719006.1	OFA family MFS transporter 	44.0
ERR8477561.12916066	WP_021719006.1	OFA family MFS transporter 	44.0
ERR8477561.23233171	WP_021719006.1	OFA family MFS transporter 	44.0
ERR8477561.5784983	WP_004293562.1	RNA polymerase sigma factor 	44.0
ERR8477561.6998097	WP_004293562.1	RNA polymerase sigma factor 	44.0
ERR8477561.9631199	WP_004293562.1	RNA polymerase sigma factor 	43.67
ERR8477561.10146072	WP_004293562.1	RNA polymerase sigma factor 	39.0
ERR8477561.12370322	WP_004293562.1	RNA polymerase sigma factor 	44.0
ERR8477561.16412961	WP_004293562.1	RNA polymerase sigma factor 	44.0
ERR8477561.16768461	WP_004293562.1	RNA polymerase sigma factor 	43.67
ERR8477561.20561545	WP_004293562.1	RNA polymerase sigma factor 	44.0
ERR8477561.20561836	WP_004293562.1	RNA polymerase sigma factor 	44.0
ERR8477561.22739849	WP_004293562.1	RNA polymerase sigma factor 	44.0
ERR8477561.1384547	WP_062694599.1	efflux RND transporter permease subunit 	22.35
ERR8477561.4227339	WP_062694599.1	efflux RND transporter permease subunit 	23.29
ERR8477561.9021681	WP_062694599.1	efflux RND transporter permease subunit 	22.35
ERR8477561.10547709	WP_062694599.1	efflux RND transporter permease subunit 	22.35
ERR8477561.14288929	WP_062694599.1	efflux RND transporter permease subunit 	21.41
